Company Name,Location,Industry,Founded,Headquarters,CEO,Employees Number
Credito Emiliano,"Reggio Emilia, Italy",Banking,1910,Reggio Emilia,Roberto Frignani,"6,219"
Johnson Matthey,"London, United Kingdom",Chemicals,1817,London,Liam Condon,"14,582"
Synnex Technology Intl,"Taipei, Taiwan",Trading Companies,1988,Taipei,Shu Tu,
Adani Total Gas,"Ahmedabad, India",Oil & Gas Operations,2005,Ahmedabad,Suresh P. Manglani,517
EXOR,"Amsterdam, Netherlands",Diversified Financials,2015,Amsterdam,John Jacob Philip,10
WuXi Biologics,"Wuxi, China",Drugs & Biotechnology,2010,Wuxi,Zhi Sheng Chen,"9,864"
BeiGene,"Beijing, China",Drugs & Biotechnology,2010,Beijing,John V. Oyler,"8,200"
Daito Trust Construction,"Tokyo, Japan",Construction,1974,Tokyo,Naomi Kumakiri,"17,422"
Abu Dhabi Islamic Bank,"Abu Dhabi, United Arab Emirates",Banking,1997,Abu Dhabi,Nasser Al Awadhi,
Jiangxi Bank,"Nanchang, China",Banking,1998,Nanchang,Xiao Ming Chen,"5,365"
Mercuries & Associates,"Taipei, Taiwan",Insurance,Taipei,Taiwan,"17,301",
Pan Pacific International Holdings,"Tokyo, Japan",Retailing,1980,Tokyo,Naoki Yoshida,"16,838"
Li Ning,"Beijing, China",Household & Personal Products,1989,Beijing,"Takeshi Kosaka, Ning Li","4,019"
Mitsubishi Motors,"Tokyo, Japan",Consumer Durables,1970,Tokyo,Takao Kato,"30,091"
Rite Aid,"Camp Hill, Pennsylvania",Retailing,1968,"Camp Hill, Pennsylvania",Heyward R. Donigan,"50,000"
Var Energi ASA,"Sandnes, Norway",Oil & Gas Operations,1965,Sandnes,Torger Rød,950
Waters,"Milford, Massachusetts","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1958,"Milford, Massachusetts",Udit Batra,"7,800"
Shaw Communications,"Calgary, Canada",Media,1966,Calgary,Bradley S. Shaw,"9,400"
Moscow Exchange,"Moscow, Russia",Diversified Financials,1992,Moscow,Yuriy Olegovich Denisov,"2,208"
Bank of Qingdao,"Qingdao, China",Banking,1996,Qingdao,Shao Quan Guo,"4,117"
Bausch Health Companies,"Laval, Canada",Drugs & Biotechnology,1994,Laval,Joseph C. Papa,"19,100"
Tech Mahindra,"Pune, India",Professional Service,1986,Pune,Chander Prakash Gurnani,"141,193"
FMC,"Philadelphia, Pennsylvania",Chemicals,1883,"Philadelphia, Pennsylvania",Mark A. Douglas,"6,400"
BayWa,"Munich, Germany",Trading Companies,1923,Munich,Klaus Josef Lutz,"21,468"
AECOM Technology,"Dallas, Texas",Construction,1980,"Dallas, Texas",W. Troy Rudd,"51,000"
Alpha Bank,"Athens, Greece",Banking,1879,Athens,Vassilios E. Psaltis,"8,939"
SQM,"Santiago, Chile",Chemicals,1968,Santiago,Ricardo Ramos Rodríguez,"6,081"
Emera,"Halifax, Canada",Utilities,1998,Halifax,Scott Carlyle Balfour,"7,140"
Starwood Property Trust,"Greenwich, Connecticut",Diversified Financials,2009,"Greenwich, Connecticut",Barry Stuart Sternlicht,277
Hoshine Silicon Industry,"Jiaxing, China",Chemicals,2005,Jiaxing,Li Guo Luo,"8,893"
Qinghai Salt Lake Industry,"Golmud, China",Chemicals,1958,Golmud,Kang Min Xie,"6,337"
Nexi S.p.A.,"Milan, Italy",IT Software & Services,1939,Milan,Paolo Bertoluzzo,"9,929"
Ramsay Health Care,"Sydney, Australia",Health Care Equipment & Services,1964,Sydney,Craig Ralph McNally,"80,000"
Focus Media Information Technology,"Shanghai, China",Media,1997,Shanghai,Nan Chun Jiang,"6,779"
